time_s,surge_m,sway_m,heave_m,yaw_deg,hull_pitch_deg,bridge_relative_pitch_deg,spud_relative_pitch_deg,spud_relative_yaw_deg,spud_upper_guide_relative_x_m,spud_soil_x_displacement_m,spud_soil_y_displacement_m,spud_soil_pitch_rotation_deg,spud_soil_yaw_rotation_deg,spud_lateral_m,equivalent_displacement_m,equivalent_velocity_m_s,equivalent_net_force_N,equivalent_total_restoring_force_N,equivalent_wire_rope_force_demand_N,equivalent_end_stop_diagnostics_available,equivalent_end_stop_enabled,equivalent_end_stop_travel_m,equivalent_end_stop_engagement_ramp_m,equivalent_end_stop_engagement_factor,equivalent_end_stop_engagement_gradient_per_m,equivalent_end_stop_active,equivalent_end_stop_penetration_m,equivalent_end_stop_force_N,equivalent_end_stop_closing_rate_m_s,equivalent_end_stop_elastic_energy_J,equivalent_end_stop_damping_dissipation_W,equivalent_end_stop_force_limit_N,equivalent_end_stop_capacity_status,equivalent_tension_1_N,equivalent_tension_2_N,equivalent_common_tension_N,equivalent_minimum_tension_control_required_N,equivalent_minimum_tension_control_active,equivalent_travel_demand_m,equivalent_travel_warning_m,equivalent_travel_limit_m,equivalent_travel_capacity_status,equivalent_force_demand_N,equivalent_force_warning_N,equivalent_force_limit_N,equivalent_force_capacity_status,soil_force_x_N,soil_force_y_N,soil_pitch_moment_Nm,soil_yaw_moment_Nm
71.9,0.30762059474319775,1.7688830511410427,-0.4179797221972835,-2.30710164323331,-1.27500255087191,-1.7887210567864147,1.2044922116673646,0.12779182384561513,-0.10610660606686476,0.00013471471928028222,0.0312683699558689,-0.07050716883226746,-2.179337959777403,0.030792760832959603,-0.02831163548019333,0.031900907424774416,22682.504607884024,22682.504607884024,22682.504607884024,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,161341.25230394202,138658.74769605798,150000.0,0.0,0.0,0.02831163548019333,0.25,0.3,within,22682.504607884024,500000.0,550000.0,within,110210.54844321027,2272499.081964373,334858.9932206461,7798698.695108285
72.0,0.3069936828227268,1.7702011881055504,-0.4211494250487029,-2.308776508438248,-1.264840615464065,-1.810514986970978,1.1999400039501396,0.12801240494181312,-0.10249275674160173,6.0918729069214805e-05,0.031300052683019164,-0.06489745553401681,-2.1807920938727974,0.030810299253365717,-0.025015590206531393,0.03401999804846406,17907.90672191234,17907.90672191234,17907.90672191234,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,158953.95336095616,141046.04663904384,150000.0,0.0,0.0,0.025015590206531393,0.25,0.3,within,17907.90672191234,500000.0,550000.0,within,104081.11664638655,2273562.695986922,314154.9796573516,7802883.741153908
72.10000000000001,0.3062340419685035,1.7713310617024725,-0.42428675241341485,-2.3102020288137495,-1.2539567124771431,-1.8408035556722349,1.1949633644636102,0.12823457683762873,-0.09862757219335273,-1.5276526454499617e-05,0.03132861455352742,-0.058990208311109994,-2.1819952724538227,0.03082624488929168,-0.021497840637181187,0.036334993338539845,12801.478232354906,12801.478232354906,12801.478232354906,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,156400.73911617746,143599.26088382254,150000.0,0.0,0.0,0.021497840637181187,0.25,0.3,within,12801.478232354906,500000.0,550000.0,within,97563.20611528365,2274344.553451204,292210.2409457088,7806125.585043303
72.2,0.30544084726587273,1.7723082629656528,-0.4273707212732539,-2.3114261260693785,-1.2426501274882074,-1.8774591236669853,1.1899226340593112,0.12846450500966342,-0.09454055540622291,-9.653564860201413e-05,0.031351850050197694,-0.05272437085882576,-2.1829892699129667,0.03083611127605286,-0.017762733219092983,0.03836715502322416,7464.704103541615,7464.704103541615,7464.704103541615,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,153732.3520517708,146267.6479482292,150000.0,0.0,0.0,0.017762733219092983,0.25,0.3,within,7464.704103541615,500000.0,550000.0,within,90667.98502669398,2275005.57073584,268974.6664269507,7808837.766782723
72.3,0.3047394809804176,1.7731471290119873,-0.4303839323270126,-2.312469043550753,-1.23124146206854,-1.9164881037529558,1.1852102568478677,0.12865181095033937,-0.09028410105891252,-0.00018877868171074397,0.03137586932806702,-0.04602810228061083,-2.1838447154217113,0.03084178706265264,-0.01383526486352514,0.04018221208813277,1917.4344612103396,1917.4344612103396,1917.4344612103396,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,150958.71723060517,149041.28276939483,150000.0,0.0,0.0,0.01383526486352514,0.25,0.3,within,1917.4344612103396,500000.0,550000.0,within,83525.10963812008,2275406.1464231904,244651.45388227713,7810793.2187843155
72.4,0.3042384860538898,1.7738364068650572,-0.43330967582107227,-2.313317549863156,-1.2200444046730186,-1.9553308715305937,1.181210308710843,0.12880717641906156,-0.08589553179009249,-0.00029525349589931693,0.03140636860529078,-0.03883101380135677,-2.184537715747342,0.030846283844697092,-0.009725944654305485,0.04200419209626047,-3871.264216585145,-3871.264216585145,3871.264216585145,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,148064.36789170743,151935.63210829257,150000.0,0.0,0.0,0.009725944654305485,0.25,0.3,within,3871.264216585145,500000.0,550000.0,within,76154.81835018565,2275268.692898951,219199.4003492364,7811337.925530878
72.5,0.3040464776623769,1.7743982950311368,-0.43613193315968785,-2.3140020498158416,-1.209359422519541,-1.9913483474898264,1.1782866602797575,0.12891226563335814,-0.08141227904409526,-0.000416924573002575,0.031440796525705306,-0.031069702077874628,-2.1851170240074373,0.030844062157803793,-0.005446801073481097,0.04357867952022717,-9834.631228066677,-9834.631228066677,9834.631228066677,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,145082.68438596666,154917.31561403334,150000.0,0.0,0.0,0.005446801073481097,0.25,0.3,within,9834.631228066677,500000.0,550000.0,within,68493.29003229768,2274780.062859051,192396.77699607224,7810952.383553785
72.60000000000001,0.30429096619796503,1.7749001083441698,-0.4388346480203784,-2.314611780785992,-1.199465300291933,-2.0200499488166916,1.176789958183789,0.1289598557840414,-0.07688763539836144,-0.0005599574911911986,0.03148053872208756,-0.02267230473586571,-2.1856791145159997,0.030832722358159717,-0.00102664694573186,0.0448244030347576,-15918.379379601756,-15918.379379601756,15918.379379601756,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,142040.81031019913,157959.18968980087,150000.0,0.0,0.0,0.00102664694573186,0.25,0.3,within,15918.379379601756,500000.0,550000.0,within,60680.41878846948,2274040.7938350774,164469.79029182863,7809981.686604341
72.7,0.3050978591854146,1.775415007706319,-0.4413988642467311,-2.315243392287738,-1.190594887931869,-2.0364057376441957,1.1770300717094813,0.12893984172602788,-0.07237360441208322,-0.0007304428228493975,0.03153574189039787,-0.013561802245303196,-2.1863307534363163,0.030818419507897522,0.0035041471269539604,0.04579147841895873,-22092.442632387265,-22092.442632387265,22092.442632387265,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,138953.77868380636,161046.22131619364,150000.0,0.0,0.0,0.0035041471269539604,0.25,0.3,within,22092.442632387265,500000.0,550000.0,within,52844.48700063532,2272801.7705284357,135612.16522089188,7807996.892105993
72.8,0.3065371359800929,1.775964739591352,-0.44380597205067324,-2.315926094983187,-1.182924793084498,-2.03824706358039,1.179246069467885,0.12882037065394353,-0.06787931964346122,-0.0009274951190292313,0.03160965260360671,-0.0036757346027093325,-2.1871330077826614,0.030802175657934812,0.008153137723979798,0.04718833352155786,-28508.4812409812,-28508.4812409812,28508.4812409812,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,135745.7593795094,164254.2406204906,150000.0,0.0,0.0,0.008153137723979798,0.25,0.3,within,28508.4812409812,500000.0,550000.0,within,44845.82239135336,2271027.4926644703,105432.67033892279,7804993.376694588
