time,Fx,Fy,Fz,Mx,My,Mz
508.6,1019661.0,-2808.2279399999998,1610336.0,53575.699,99972629.0,-230709.30200000003
508.8,1052261.0,-4017.4020600000003,1811930.0,59089.692699999985,104000629.0,-326109.302
509.0,1045881.0,-5126.5823,1922990.0,61999.693499999994,103546629.0,-406529.302
509.2,1001311.0,-6075.816389999999,1938570.0,61139.70370000001,98737629.0,-460399.302
509.4,919401.0,-6828.5597,1860480.0,54919.71470000001,90009629.0,-479779.302
509.6,801441.0,-7345.37762,1696160.0,43309.707799999975,78014629.0,-462029.302
509.8,649691.0,-7570.559319999999,1453910.0,28799.681500000064,63340629.0,-408880.104
510.0,467953.0,-7467.474700000001,1144660.0,13369.699299999978,46603629.0,-327233.104
510.2,262105.0,-6980.20263,782320.0,-2350.307599999942,28486629.0,-225302.104
510.4,40521.0,-6065.50358,383860.0,-19210.304399999906,9753129.0,-112002.10400000005
510.6,-185849.0,-4710.89613,-31490.0,-39040.319099999964,-8753621.0,3697.8959999999497
510.8,-404320.0,-2963.07803,-443379.0,-62470.28749999998,-26149971.0,113430.69799999997
511.0,-601639.0,-923.9585299999999,-831587.0,-89380.2892,-41565871.0,210600.69799999997
511.2,-766089.0,1285.97672,-1178090.0,-118748.3065,-54265971.0,290990.698
511.4,-888969.0,3532.60753,-1469720.0,-148623.5093,-63773591.0,353450.698
511.6,-965519.0,5683.646279999999,-1697980.0,-177190.3052,-69884471.0,398850.698
511.8,-994829.0,7591.027069999999,-1859350.0,-202560.3077,-72636171.0,428040.698
512.0,-979059.0,9158.8065,-1953160.0,-222000.30590000004,-72262371.0,443410.698
512.2,-922509.0,10291.459490000001,-1980780.0,-232660.3125,-69111371.0,445470.698
512.4,-830739.0,10920.45898,-1944580.0,-231950.30810000002,-63589371.0,433110.698
512.6,-710029.0,11023.35379,-1847740.0,-217880.30350000004,-56136371.0,404254.698
512.8,-567003.0,10563.04523,-1694550.0,-189730.28840000008,-47221371.0,356090.698
513.0,-408204.8,9526.20907,-1489920.0,-148780.28119999997,-37294371.0,285720.698
513.2,-239854.0,7934.448109999999,-1239850.0,-97940.29460000002,-26765371.0,192910.69799999997
513.4,-67549.0,5867.869519999999,-951278.0,-42100.305900000036,-15997271.0,81380.69799999997
513.6,104271.0,3417.58052,-631500.0,16309.6875,-5211971.0,-40309.302000000025
513.8,272258.0,739.5342200000001,-288180.0,73619.68850000005,5491429.0,-163919.30200000003
514.0,434271.0,-2047.72122,72310.0,125219.69650000002,16178629.0,-280029.302
514.2,588301.0,-4814.634250000001,440820.0,167932.6933,26821629.0,-380219.302
514.4,731561.0,-7408.582740000001,804660.0,201108.6916,37196629.0,-456079.302
514.6,859561.0,-9702.091180000001,1150742.0,224099.6865,47042629.0,-501074.302
514.8,965531.0,-11542.76461,1464290.0,235659.69780000002,55954629.0,-511439.302
515.0,1040841.0,-12818.877209999999,1728880.0,229319.70640000002,63339629.0,-486799.302
515.2,1076221.0,-13484.368689999998,1928320.0,207559.71130000002,68592629.0,-432365.602
515.4,1063721.0,-13494.170180000001,2050060.0,177809.71620000002,71217629.0,-355339.302
515.6,998291.0,-12849.551979999998,2085700.0,142699.69030000002,70883629.0,-264582.10400000005
515.8,878761.0,-11579.22982,2031130.0,101489.69310000003,67437629.0,-169422.10400000005
516.0,708121.0,-9741.043580000001,1886920.0,52909.68559999997,60915629.0,-77762.10399999999
516.2,493463.9,-7431.83939,1659970.0,4749.681699999957,51633029.0,5957.896000000008
516.4,245760.0,-4786.961760000001,1361623.0,-40190.31050000002,40066429.0,79957.89600000001
516.6,-20279.0,-1935.1983799999998,1006180.0,-79780.32160000002,26797129.0,145927.896
516.8,-287713.0,997.2007299999999,613780.0,-114780.3187,12687229.0,206161.896
517.0,-538179.0,3898.8070199999997,206520.0,-144690.28110000002,-1338371.0,262902.698
517.2,-753279.0,6664.48722,-196570.0,-165820.3103,-14629371.0,316437.896
517.4,-917959.0,9191.99711,-578030.0,-174757.30670000002,-26620371.0,365197.896
517.6,-1022179.0,11384.197680000001,-925485.0,-171188.78860000003,-37074371.0,406077.896
517.8,-1062479.0,13126.22717,-1228050.0,-160600.3069,-45889371.0,435177.896
518.0,-1041359.0,14331.46768,-1477180.0,-145799.3086,-52989371.0,450307.896
518.2,-965459.0,14895.81157,-1666010.0,-123150.32149999999,-58319371.0,446847.896
518.4,-843699.0,14812.36102,-1787440.0,-94930.3197,-61617371.0,425477.896
518.6,-685549.0,14051.038859999999,-1831510.0,-68840.3125,-62284371.0,386297.896
518.8,-501239.0,12658.89573,-1799050.0,-41770.30209999997,-60225371.0,331889.896
519.0,-301553.0,10687.298889999998,-1694870.0,-15680.280700000003,-55467371.0,264391.998
519.2,-98734.0,8205.49439,-1529040.0,10039.717700000037,-48293371.0,186471.698
519.4,94433.0,5320.46919,-1316130.0,33879.686400000006,-39214771.0,100364.896
519.6,265722.0,2151.89788,-1072955.0,54249.68740000005,-28920971.0,8388.895999999993
519.8,404993.0,-1152.5125,-816560.0,71059.68869999994,-18159231.0,-87335.804
520.0,505801.0,-4460.42835,-560260.0,84769.68160000001,-7516171.0,-184370.104
520.2,565691.0,-7618.03107,-314700.0,95509.71920000005,2510629.0,-280159.302
520.4,586501.0,-10464.534410000002,-87530.0,102629.69830000005,11533629.0,-371682.104
520.6,573751.0,-12875.84948,116120.0,105199.68199999997,19270629.0,-454060.104
520.8,535681.0,-14733.65692,293680.0,102979.70540000004,25564629.0,-522273.702
521.0,481591.0,-15976.58934,444470.0,96091.71340000001,30338629.0,-570386.602
521.2,420651.0,-16526.0583,568617.0,84630.4034,33604629.0,-594490.602
521.4,360801.0,-16352.11506,667345.0,68939.69569999998,35437629.0,-591569.802
521.6,307692.0,-15438.114010000001,741860.0,49689.699199999974,35950629.0,-560002.302
521.8,264746.9,-13806.61435,793180.0,27589.697000000044,35292629.0,-500193.302
522.0,232956.0,-11529.751600000001,822120.0,3679.7210000000196,33618629.0,-412826.302
522.2,211497.0,-8701.85115,829250.0,-20760.280499999993,31105629.0,-301791.302
522.4,198052.0,-5456.9711800000005,814740.0,-44400.28040000005,27940629.0,-172418.302
522.6,189271.0,-1957.05979,778970.0,-65850.28499999992,24305629.0,-31146.301999999996
522.8,181301.0,1623.7295199999999,722770.0,-84050.28269999998,20417629.0,114563.698
523.0,169941.0,5124.08373,647740.0,-98050.2966,16495629.0,256558.698
523.2,151231.0,8395.587000000001,556630.0,-107110.3075,12777429.0,386296.698
523.4,121721.0,11295.16271,453329.0,-110930.29330000002,9493529.0,496460.698
523.6,79513.0,13685.23136,342958.0,-109480.28879999998,6863529.0,581269.698
523.8,24690.0,15445.20861,231660.0,-103010.30290000001,5080629.0,637640.698
524.0,-39832.0,16476.48185,125950.0,-92050.35949999999,4281629.0,664943.25
524.2,-108421.0,16721.288849999997,32390.0,-77396.3661,4533629.0,664073.25
524.4,-173296.0,16170.693220000001,-43380.0,-59770.3805,5805629.0,636953.25
524.6,-225936.0,14862.00679,-96960.0,-40230.3824,7954629.0,585753.25
524.8,-258648.6,12878.37067,-126070.0,-19880.385299999965,10723629.0,512553.25
525.0,-266305.0,10333.88416,-130940.0,249.59989999997197,13747629.0,419483.25
525.2,-247244.0,7363.38379,-114060.0,19149.610999999975,16576629.0,309023.25
525.4,-203389.0,4088.3568100000007,-80580.0,36009.60759999999,18727629.0,183947.25
525.6,-139779.0,679.1924499999999,-37430.0,49939.60889999999,19742629.0,49694.15
525.8,-63559.0,-2725.60873,8280.0,59839.60270000005,19284629.0,-88844.75
526.0,17231.0,-5945.29076,48303.0,65129.59959999996,17098629.0,-225717.75
526.2,94371.0,-8832.97463,74599.0,65799.61229999992,13054629.0,-354536.75
526.4,160351.0,-11257.74346,79807.7,62359.60190000001,7160629.0,-468856.75
