time,Fx_local,Fy_local,Fz_local
222.230000,369436.346525,566245.042471,453497.620656
222.240000,417438.845560,642280.193050,507299.782819
222.250000,509520.411197,466065.987452,590268.008687
222.260000,322536.718147,462595.919884,362376.807915
222.270000,390155.458494,551424.584942,481634.788610
222.280000,357870.324324,472606.166988,424836.642857
222.290000,478867.789575,689458.531853,542190.000000
222.300000,380928.700772,422463.613900,375283.586873
222.310000,393245.522201,431149.986486,454217.571429
222.320000,534571.198842,660433.972008,621792.214286
222.330000,368692.607143,412246.482625,470903.055985
222.340000,436719.744208,660779.597490,535794.547297
222.350000,462187.216216,404114.768340,557787.347490
222.360000,314804.038610,417553.951737,344296.850386
222.370000,452292.535714,590164.259653,570450.561776
222.380000,436493.522201,563739.871622,606944.131274
222.390000,393539.426641,474933.000000,550471.198842
222.400000,410003.907336,413713.395753,449921.194981
222.410000,432535.557915,603646.876448,459527.035714
222.420000,377806.407336,553151.177606,515260.372587
222.430000,496551.474903,766201.201737,686920.517375
222.440000,432635.163127,728491.190154,577202.690154
222.450000,377270.779923,665800.375483,297817.129344
222.460000,531044.959459,847956.668919,522531.092664
222.470000,500491.022201,747379.193050,592929.570463
222.480000,401281.621622,801835.465251,606430.143822
222.490000,491829.052124,803599.505792,706770.654440
222.500000,443743.523166,589245.712355,443549.837838
222.510000,397909.317568,757345.699807,498757.216216
222.520000,470141.666988,524535.628378,634980.005792
222.530000,382160.336873,635062.575290,535727.785714
222.540000,583839.251931,867797.750965,801981.112934
222.550000,478389.715251,613121.803089,610193.501931
222.560000,327336.492278,655619.924710,381319.754826
222.570000,461014.974903,468699.770270,528683.901544
222.580000,399764.522201,502484.814672,494338.827220
222.590000,489281.368726,675964.097490,587214.625483
222.600000,462956.278958,680568.344595,594285.521236
222.610000,431267.548263,683662.705598,544930.754826
222.620000,442118.070463,431159.962355,509283.445946
222.630000,452722.418919,562893.917954,584454.072394
222.640000,498034.502896,714061.019305,575130.318533
222.650000,413142.469112,782056.694015,557698.792471
222.660000,382880.441120,570403.751931,484836.582046
222.670000,440589.153475,371511.480695,563530.992278
222.680000,467435.597490,588601.424710,453623.930502
222.690000,398862.089768,607416.220077,554031.816602
222.700000,537820.722973,804175.190154,634679.808880
222.710000,445492.216216,654889.998069,606413.261583
222.720000,321839.788610,399048.254826,328844.690154
222.730000,438081.527027,636161.609073,453993.498069
222.740000,387589.511583,490852.030888,619850.910232
222.750000,470241.272201,733943.846525,662871.306950
222.760000,417413.061776,772196.084942,620473.711390
222.770000,451612.334942,415127.973938,501629.959459
222.780000,389241.515444,670494.251931,502202.113900
222.790000,460169.942085,740912.527992,556542.666023
222.800000,442836.179537,753699.136100,640283.791506
222.810000,492250.033784,695157.208494,734269.673745
222.820000,483028.187259,705802.534749,495885.393822
222.830000,504270.188224,741692.180502,615452.933398
222.840000,348876.541506,482831.739382,479054.875483
222.850000,373355.635135,660724.193050,482845.552124
222.860000,448602.231660,755897.510618,585044.183398
222.870000,398371.277027,363841.418919,467617.004826
222.880000,357269.623552,497728.627413,384559.763514
222.890000,352687.937259,481263.379344,405620.357143
222.900000,445444.025097,597471.967181,545147.768340
222.910000,465298.766409,677612.264479,550348.725869
222.920000,464897.889961,376892.464286,566958.547297
222.930000,391679.617761,486050.875483,452806.523166
222.940000,400584.999035,495030.538610,475672.135135
222.950000,360153.110039,556792.523166,419913.014479
222.960000,444246.767375,677180.693050,554542.581081
222.970000,344992.705598,316839.422780,337868.093629
222.980000,424078.016409,504273.871622,486762.078185
222.990000,457831.751931,689600.189189,494219.884170
223.000000,357381.813707,451860.657336,442475.206564
223.010000,427073.232625,699479.675676,487725.440154
223.020000,496956.495174,429319.491313,583730.745174
223.030000,359252.519305,528084.275097,375949.361004
223.040000,496258.644788,646951.355212,610940.157336
223.050000,379592.241313,533959.447876,444033.283784
223.060000,460164.110039,687956.319498,535509.390927
223.070000,468440.858108,542261.826255,478280.287645
223.080000,372051.098456,430372.636100,388652.325290
223.090000,360801.694981,573707.606178,519461.594595
223.100000,504863.061776,862658.490347,694849.184363
223.110000,343937.258687,701659.940154,471120.683398
223.120000,324473.111004,557459.985521,314291.892857
223.130000,525798.726834,912695.145753,553873.277027
223.140000,529337.551158,814252.198842,580056.555985
223.150000,454838.530888,804101.522201,667282.022201
223.160000,565516.190154,873466.039575,791077.181467
223.170000,381032.142857,567100.511583,372262.126448
223.180000,425117.501931,738783.370656,530146.210425
223.190000,463754.501931,495003.680502,693625.989382
223.200000,492332.449807,722454.101351,648084.613900
223.210000,548977.734556,776396.846525,634759.922780
223.220000,435451.274131,611567.409266,476822.122587
223.230000,321894.272201,531401.481660,398147.510618
223.240000,468634.696911,439111.190154,553967.050193
223.250000,387203.061776,497989.995174,422707.792471
223.260000,485989.945946,751930.798263,619253.892857
223.270000,488023.488417,689652.063707,631340.501931
223.280000,385516.219112,652076.496139,446666.606178
223.290000,487835.174710,474334.294402,570060.735521
223.300000,479420.913127,508860.929537,566059.951737
223.310000,471567.448842,682782.373552,566299.372587
223.320000,403417.685328,516957.191120,540791.843629
223.330000,424238.704633,617566.589768,443431.662162
223.340000,422489.858108,370144.479730,493960.665058
223.350000,484656.862934,484680.958494,523014.231660
223.360000,394369.572394,694782.883205,501343.268340
223.370000,554979.370656,820073.194981,651588.445946
223.380000,472990.161197,783497.209459,598885.777992
223.390000,409549.314672,659735.047297,515377.013514
223.400000,504414.915058,600009.214286,631098.165058
223.410000,410089.085907,502242.324324,556148.849421
223.420000,508946.261583,841819.054054,615758.348456
223.430000,398862.550193,655475.965251,584889.327220
223.440000,440615.704633,686518.720077,555901.294402
223.450000,526784.035714,793029.535714,544730.930502
223.460000,466565.548263,696625.656371,592139.942085
223.470000,441196.914093,802391.658301,645929.212355
223.480000,423178.346525,735430.557915,654544.986486
223.490000,501067.627413,892536.524131,662337.981660
223.500000,361752.011583,579567.431467,410832.057915
223.510000,394047.888996,660591.437259,507107.632239
223.520000,529341.694981,782413.830116,672748.798263
223.530000,330426.249035,514385.872587,361279.308880
223.540000,364170.162162,397873.864865,453524.632239
223.550000,471089.221042,606468.972973,533090.472973
223.560000,353559.214286,483927.703668,430093.465251
223.570000,413485.792471,611253.860039,482330.950772
223.580000,399629.464286,568891.256757,483992.316602
223.590000,396375.028958,431583.092664,473512.896718
223.600000,431932.708494,556214.690154,522696.845560
223.610000,346069.638996,447472.195946,443636.551158
223.620000,480731.281853,635061.194015,523017.608108
223.630000,439673.061776,373552.236486,475606.140927
223.640000,397297.720077,436508.102317,385369.497104
223.650000,493869.040541,591254.852317,577682.606178
223.660000,305678.420849,488172.666023,271696.314672
223.670000,421083.414093,564893.235521,525306.532819
223.680000,404027.441120,420250.812741,423400.578185
223.690000,321199.184363,357174.008687,364561.830116
223.700000,428172.726834,519142.366795,548033.403475
223.710000,445148.585907,706636.670849,603266.105212
223.720000,384586.928571,604487.918919,431543.342664
223.730000,385630.864865,437473.612934,349518.833977
223.740000,545370.000000,613390.691120,568858.259653
223.750000,365210.261583,495066.605212,447825.034749
223.760000,463913.348456,680711.383205,618765.075290
223.770000,387806.678571,671639.788610,521025.503861
223.780000,345206.342664,492024.886100,305912.009653
223.790000,412191.385135,715168.033784,438459.382239
223.800000,516974.840734,655114.838803,669209.206564
223.810000,431238.848456,799132.004826,581998.780888
223.820000,433570.285714,838837.036680,729990.639961
223.830000,442767.115830,597509.875483,385247.331081
223.840000,395662.444981,784070.131274,443070.075290
223.850000,483040.004826,512210.212355,662235.613900
223.860000,463110.521236,644203.233591,606862.022201
223.870000,538288.054054,791609.278958,733381.054054
223.880000,457179.023166,744996.802124,521135.084942
223.890000,386632.902510,674665.546332,424933.332046
223.900000,465146.826255,452442.941120,572105.328185
223.910000,473836.421815,566928.005792,540444.529923
223.920000,433758.292471,590869.016409,511755.926641
223.930000,540756.851351,789367.164093,654642.443050
223.940000,380693.423745,660562.737452,517660.106178
223.950000,493711.728764,506816.490347,544106.134170
223.960000,342175.520270,332888.907336,423000.469112
223.970000,377582.027027,603116.160232,422673.414093
223.980000,507297.173745,762649.945946,622400.742278
223.990000,331887.637066,589752.639961,464686.708494
224.000000,438187.271236,273965.901544,525235.473938
224.010000,451738.184363,493086.472008,515668.308880
224.020000,438070.169884,555029.863900,563363.551158
224.030000,469412.661197,747346.042471,549103.583977
224.040000,521592.133205,872313.289575,699860.600386
224.050000,440816.910232,458121.512548,482696.374517
224.060000,423379.552124,560541.761583,505607.875483
224.070000,434171.600386,681721.248069,551652.341699
224.080000,441763.850386,685177.656371,596006.742278
224.090000,473806.954633,780639.046332,701682.500965
224.100000,382307.519305,532331.079151,378273.124517
224.110000,493893.903475,691965.390927,546238.207529
224.120000,533417.527992,779745.822394,698546.548263
224.130000,521453.698842,934667.533784,702473.817568
224.140000,468916.476834,947384.003861,674427.046332
224.150000,550394.461390,699749.944981,653128.413127
224.160000,397929.729730,543134.484556,478866.254826
224.170000,402117.292471,548696.415058,568238.988417
224.180000,466112.336873,742358.108108,692966.661197
224.190000,388241.626448,737083.943050,427268.913127
224.200000,465722.971042,449978.441120,619749.156371
224.210000,390768.130309,501965.455598,438678.237452
224.220000,443306.580116,613460.982625,516479.884170
224.230000,367878.269305,565004.658301,448443.692085
224.240000,415421.417954,640777.520270,500881.615830
224.250000,510516.770270,468137.438224,593802.842664
224.260000,270301.534749,407144.516409,313558.896718
224.270000,406128.819498,542608.986486,499408.256757
224.280000,364120.282819,479766.692085,429548.475869
224.290000,465733.253861,642926.015444,550317.263514
224.300000,393759.202703,443198.533784,385756.100386
224.310000,409798.404440,449659.366795,472247.342664
224.320000,491703.816602,625159.914093,573927.535714
224.330000,383088.553089,426608.971042,487499.371622
224.340000,445296.535714,668060.907336,545871.402510
224.350000,433321.349421,381743.959459,522985.838803
224.360000,334456.039575,441338.111004,370248.075290
224.370000,471006.805019,610323.648649,595442.108108
224.380000,408709.653475,549764.753861,572967.550193
224.390000,406230.112934,484758.002896,567195.666023
224.400000,422085.144788,422131.647683,465840.379344
224.410000,399500.545367,600320.921815,409575.405405
224.420000,392471.394788,568709.388996,533105.206564
224.430000,516548.333977,786359.823359,707879.971042
224.440000,370942.242278,652828.216216,463764.938224
224.450000,390000.602317,680627.278958,320060.707529
224.460000,552162.031853,863928.955598,556090.682432
224.470000,471300.709459,735260.507722,549704.131274
224.480000,413656.149614,809798.203668,625890.608108
224.490000,510178.818533,819113.055985,740119.216216
224.500000,420670.106178,586699.717181,411260.559846
224.510000,416261.539575,770322.309846,532525.992278
224.520000,523524.535714,535740.370656,717916.155405
224.530000,386142.703668,639349.589768,543720.605212
224.540000,601487.944981,862002.999035,820560.631274
224.550000,485558.067568,767848.294402,551425.045367
224.560000,350419.424710,649420.612934,407393.452703
224.570000,434640.926641,375082.381274,518888.979730
224.580000,414566.869691,546775.216216,481758.182432
224.590000,458334.842664,620160.162162,577212.359073
224.600000,511329.880309,731633.281853,640760.944981
224.610000,376190.316602,641552.415058,440728.201737
224.620000,497106.286680,450481.224903,569894.982625
224.630000,444485.420849,539148.280888,568270.911197
224.640000,485907.529923,668713.175676,566316.254826
224.650000,441893.843629,791815.702703,595673.548263
224.660000,341822.681467,548750.284749,390723.315637
224.670000,380789.652510,264334.890927,480812.930502
224.680000,513501.703668,596873.261583,494645.009653
224.690000,385468.795367,586871.148649,532738.555019
224.700000,538284.831081,800573.441120,630269.707529
224.710000,486489.660232,672248.777027,649988.316602
224.720000,352465.552124,368955.049228,345166.285714
224.730000,421728.008687,611155.636100,425036.006757
224.740000,425963.762548,484836.428571,641622.399614
224.750000,463371.275097,715710.721042,637649.855212
224.760000,434764.780888,727035.173745,644636.032819
224.770000,436060.109073,571235.432432,615276.437259
224.780000,419513.519305,634282.155405,531421.433398
224.790000,488983.166988,739485.518340,571764.920849
