time,Fx,Fy,Fz,Mx,My,Mz
0.0,24794.97,0.0,-22194.6,0.0,-118161.9,0.0
0.2,24753.336,-0.00018095901570000002,-22162.543,2.2174186e-06,-119089.54000000001,0.0009692761
0.4,24637.753,-0.0012660365708099999,-22025.664,0.00010602515,-122129.1,0.006875638000000001
0.6,24510.749,-0.00266005638,-21758.17,0.0006646693,-126968.1,0.0146078
0.8,24473.885,-0.00204875191,-21389.350000000002,0.0010506263,-132298.9,0.01120034
1.0,24647.89,-0.0023148445000000005,-21009.98,0.0019343726,-136073.8,0.0122489434
1.2,25143.51,-0.0019394183000000001,-20754.365,0.0022275430000000002,-135896.4,0.009553240000000001
1.4,26029.69,-0.0028799006,-20776.49,0.003929431,-129538.2,0.0125811
1.6,27309.33,-0.004418056300000001,-21225.91,0.0061741339999999995,-115420.70000000001,0.0161583
1.8,28905.79,-0.0044551964,-22208.36,0.005239450999999999,-93050.0,0.012738800000000003
2.0,30663.260000000002,-0.0050465601,-23762.422000000002,0.00327038,-63302.0,0.010396800000000001
2.2,32351.63,-0.004825106799999999,-25839.7,-0.001060561,-28466.0,0.006544899999999999
2.4,33699.98,-0.0050601817,-28296.4,-0.007312125000000001,7856.0,0.004326199999999997
2.6,34421.97,-0.005063704799999999,-30900.5,-0.015341292000000001,41153.0,0.0034190999999999996
2.8,34265.78,-0.0064547156,-33350.3,-0.031972491,66538.1,0.006172239999999999
3.0,33051.4,-0.0051855799999999995,-35315.6,-0.037096281999999994,79522.1,0.009640010000000001
3.2,30712.52,-0.004625828,-36475.3,-0.043911081,76662.1,0.0164412
3.4,27322.1,-0.004577461,-36571.799999999996,-0.053576293,56277.0,0.02826627
3.6,23089.5,-0.005186032,-35453.1,-0.06925863000000002,18763.0,0.050356599999999994
3.8,18349.109999999997,-0.004288263999999999,-33103.229999999996,-0.05952106,-33283.0,0.05935800000000001
4.0,13516.300000000001,-0.0036110910000000003,-29655.600000000002,-0.04623133,-95393.40000000001,0.06446890000000001
4.2,9030.800000000001,-0.003494412,-25380.5,-0.035219589999999995,-161778.0,0.0727055
4.4,5297.1,-0.0041462569999999995,-20646.5,-0.0259829,-226277.0,0.09136810000000001
4.6,2622.7000000000007,-0.0042032779999999995,-15871.55,-0.00942738,-283245.0,0.0904218
4.8,1181.7000000000007,-0.004401647,-11454.000000000002,0.005602319999999999,-328338.0,0.0868221
5.0,1000.8999999999996,-0.005424788999999999,-7723.200000000001,0.021408240000000002,-359120.0,0.09388578
5.2,1973.6000000000004,-0.005752513599999999,-4897.199999999999,0.033136479999999996,-375050.2,0.0848464
5.4,3891.2000000000007,-0.0068496246,-3068.5999999999985,0.04694687,-377409.7,0.0845708
5.6,6495.310000000001,-0.009333583,-2218.2000000000007,0.06910263,-368608.5,0.0955173
5.8,9513.27,-0.009157814,-2231.4000000000005,0.069335281,-351738.0,0.0773809
6.0,12700.800000000001,-0.01106911,-2939.8,0.082868237,-329886.0,0.077288
6.2,15862.06,-0.011609691,-4146.1,0.08414652,-305724.0,0.0672592
6.4,18865.0,-0.011316898999999998,-5665.200000000001,0.07839114,-281180.0,0.054676300000000004
6.6,21645.98,-0.013490208,-7331.4,0.08864201,-257291.0,0.054482800000000005
6.8,24206.66,-0.014499498000000001,-9035.800000000001,0.08996601,-234172.0,0.0486452
7.0,26601.760000000002,-0.014371272,-10718.28,0.08382806000000001,-211106.0,0.03911800000000001
7.2,28925.15,-0.014017571,-12383.890000000001,0.07623884,-186721.0,0.029289000000000003
