time,Fx,Fy,Fz,Mx,My,Mz
0.0,56503.0,0.0,-7100.3975302,0.0,-282520.0,0.0
0.2,56559.445,0.0,-7102.528928934101,0.0,-282806.733,0.0
0.4,56734.3785,0.0,-7103.5773249231,0.0,-283652.037,0.0
0.6,57063.4519,0.0,-7101.673217241,0.0,-284646.87999999995,0.0
0.8,57609.557,0.0,-7115.465704335,0.0,-285100.77,0.0
1.0,58433.329,0.0,-7194.89648456,0.0,-284071.47,0.0
1.2,59553.075,0.0,-7422.967457128,0.0,-280676.88,0.0
1.4,60904.632,0.0,-7906.877423075,0.0,-274334.2,0.0
1.6,62302.733,0.0,-8758.997386230001,0.00835329750729,-264961.30000000005,0.059416229999999993
1.8,63426.194,0.0,-10070.19735321,0.009603697475809999,-253201.09999999998,0.060488652000000004
2.0,63824.695999999996,0.0,-11876.59733408,0.01132639745763,-240497.9,0.060868105
2.2,62945.721000000005,0.0,-14128.397341421,0.013473797464592001,-229051.34,0.060030574
2.4,60212.553,0.0,-16661.597388642,0.015889697509683,-221612.22,0.057423852
2.6,55121.14,0.0,-19184.497488371,0.018295597604697,-221072.0,0.052566930000000005
2.8,47367.729999999996,0.0,-21285.697649060003,0.01522469831853,-229861.0,0.033880589999999995
3.0,36992.54,0.0,-22472.397872280002,0.016073298478119998,-249221.3,0.026459080000000003
3.2,24474.64,0.0,-22238.29814986,0.01590609867669,-278521.0,0.01750534
3.4,10779.400000000001,0.0,-20165.598462799997,0.01442369890059,-315005.0,0.007710729999999999
3.6,-2705.7299999999996,0.0,-16018.3987822,0.01145719912901,-353962.0,-0.0019353499999999989
3.8,-14348.760000000002,0.0,-9826.7990723,-0.00234289977884,-389700.0,0.0034210700000000017
4.0,-22518.14,0.0,-1916.1992963999996,0.0,-416779.0,0.0
4.2,-25866.660000000003,0.0,7127.200578,0.00169940013779,-431407.0,0.006167280000000001
4.4,-23544.809999999998,0.0,16552.5005731,0.003946500136640001,-432148.0,0.005613739999999999
4.6,-15287.79,0.0,25566.9006993,0.00609560016671,-419985.0,0.0036447799999999985
4.8,-1369.6899999999987,0.0,33456.50095475,0.01595320045524,-397452.0,0.0006538800000000008
5.0,17567.91,0.0,39658.701329079995,0.01891020063378,-367462.6,-0.00837711
5.2,40716.40273,0.0,43771.601807602994,0.020872100861925,-332159.364,-0.01941517891
5.4,67252.36,0.0,45501.902373970006,-0.010849100565989998,-292253.1,0.016034286000000002
5.6,96377.52,0.0,44590.3030117,-0.0318938021541,-247024.0,0.0689354
5.8,127214.79000000001,0.0,40742.103702299995,-0.029141602648099996,-195088.0,0.09099181
6.0,158614.14,0.0,33631.8044213,-0.024055203162299997,-135615.0,0.11344952
6.2,188952.6,0.0,22970.905133500004,-0.01095300244782,-69858.0,0.09009883
6.4,216024.3,0.0,8651.6057915,-0.004125202761600001,-2518.0,0.10300803
6.6,237124.1,0.0,-9075.193663900001,0.004327396978800001,57602.0,0.11307009999999999
6.8,249354.0,0.0,-29455.1932974,0.014045496803900001,98084.0,0.1189016
7.0,250100.4,0.0,-51175.6931692,0.0122012983714,104874.0,0.059628280000000006
7.2,237622.8,0.0,-72437.29332319999,0.01727019840814,65895.0,0.05665400999999999
7.4,211561.2,0.0,-91168.39377599998,-0.04347229703220001,-25008.0,-0.100879
7.6,173237.1,0.0,-105345.09450910002,-0.05023249738172,-164670.0,-0.0826058
7.8,125619.5,0.0,-113342.19546793,-0.05404509783895,-339693.0,-0.05990007
8.0,72963.62999999999,0.0,-114221.39656889999,-0.05446339836387,-528367.7,-0.034791310000000006
8.2,20156.04,0.0,-107896.6977105,-0.05144749890828,-705349.0,-0.009610000000000002
8.4,-28036.9,0.0,-95126.5987897,-0.045360199422900004,-847222.0,0.013367709999999994
8.6,-67660.6,0.0,-77371.59971630001,-0.0368939998646,-937497.0,0.0322629
8.8,-96063.1,0.0,-56500.5004245,-0.01347040010122,-969026.0,0.02290363
9.0,-112092.9,0.0,-34495.5008794,0.008224300209680001,-944055.0,-0.026725050000000004
9.2,-115997.6,0.0,-13178.2010759,0.0125678010261,-871946.0,-0.11062300000000001
9.4,-109125.2,0.0,5988.3989664,-0.00142789975358,-765885.0,-0.026018049999999994
9.6,-93490.0,0.0,21995.6992108,-0.00524429981183,-639640.0,-0.02229032
9.8,-71355.95999999999,0.0,34283.9996128,-0.008173699907679998,-505106.0,-0.01701241
10.0,-44891.76,0.0,42659.900127600005,0.0,-371063.0,0.0
10.2,-15996.25,0.0,47197.300714200006,0.0,-242895.0,0.0
10.4,13740.169999999998,0.0,48151.0013369,0.0,-122976.0,0.0
10.6,43126.925,0.0,45742.001968372,0.0,-11972.200000000012,0.0
10.8,71052.395,0.0,40164.40258264,0.0,89553.20000000001,0.0
11.0,96296.52,0.0,31621.903151900002,0.0,180014.0,0.0
11.2,117437.93,0.0,20406.7036437,0.0,255722.0,0.0
11.4,132864.0,0.0,6995.304021,0.0,310715.0,0.0
11.6,140943.07,0.0,-7855.795754,0.0,336944.0,0.0
11.8,140307.96,0.0,-23071.7957149,0.0,325833.0,0.0
12.0,130243.04000000001,0.0,-37297.795882,0.0,270683.0,0.0
12.2,111045.55,0.0,-49032.5962551,0.02338089821422,169357.0,0.05295025
12.4,84233.16,0.0,-56859.79680686,0.02711309847739,26858.399999999994,0.04016491
