time,Fx_local,Fy_local,Fz_local
0.00,435198.74000241753,615271.61661195813,532935.09843387979
0.01,435198.74000241753,615271.61661195813,532935.09843387979
0.02,435198.74000241753,615271.61661195813,532935.09843387979
0.03,435198.74000241753,615271.61661195813,532935.09843387979
0.04,435198.74000241753,615271.61661195813,532935.09843387979
0.05,435198.74000241753,615271.61661195813,532935.09843387979
0.06,435198.74000241753,615271.61661195813,532935.09843387979
0.07,435198.74000241753,615271.61661195813,532935.09843387979
0.08,435198.74000241753,615271.61661195813,532935.09843387979
0.09,435198.74000241753,615271.61661195813,532935.09843387979
0.10,435198.74000241753,615271.61661195813,532935.09843387979
0.11,435198.74000241753,615271.61661195813,532935.09843387979
0.12,435198.74000241753,615271.61661195813,532935.09843387979
0.13,435198.74000241753,615271.61661195813,532935.09843387979
0.14,435198.74000241753,615271.61661195813,532935.09843387979
0.15,435198.74000241753,615271.61661195813,532935.09843387979
0.16,435198.74000241753,615271.61661195813,532935.09843387979
0.17,435198.74000241753,615271.61661195813,532935.09843387979
0.18,435198.74000241753,615271.61661195813,532935.09843387979
0.19,435198.74000241753,615271.61661195813,532935.09843387979
0.20,435198.74000241753,615271.61661195813,532935.09843387979
0.21,435198.74000241753,615271.61661195813,532935.09843387979
0.22,435198.74000241753,615271.61661195813,532935.09843387979
0.23,435198.74000241753,615271.61661195813,532935.09843387979
0.24,435198.74000241753,615271.61661195813,532935.09843387979
0.25,435198.74000241753,615271.61661195813,532935.09843387979
0.26,435198.74000241753,615271.61661195813,532935.09843387979
0.27,435198.74000241753,615271.61661195813,532935.09843387979
0.28,435198.74000241753,615271.61661195813,532935.09843387979
0.29,435198.74000241753,615271.61661195813,532935.09843387979
0.30,435198.74000241753,615271.61661195813,532935.09843387979
0.31,435198.74000241753,615271.61661195813,532935.09843387979
0.32,435198.74000241753,615271.61661195813,532935.09843387979
0.33,435198.74000241753,615271.61661195813,532935.09843387979
0.34,435198.74000241753,615271.61661195813,532935.09843387979
0.35,435198.74000241753,615271.61661195813,532935.09843387979
0.36,435198.74000241753,615271.61661195813,532935.09843387979
0.37,435198.74000241753,615271.61661195813,532935.09843387979
0.38,435198.74000241753,615271.61661195813,532935.09843387979
0.39,435198.74000241753,615271.61661195813,532935.09843387979
0.40,435198.74000241753,615271.61661195813,532935.09843387979
0.41,435198.74000241753,615271.61661195813,532935.09843387979
0.42,435198.74000241753,615271.61661195813,532935.09843387979
0.43,435198.74000241753,615271.61661195813,532935.09843387979
0.44,435198.74000241753,615271.61661195813,532935.09843387979
0.45,435198.74000241753,615271.61661195813,532935.09843387979
0.46,435198.74000241753,615271.61661195813,532935.09843387979
0.47,435198.74000241753,615271.61661195813,532935.09843387979
0.48,435198.74000241753,615271.61661195813,532935.09843387979
0.49,435198.74000241753,615271.61661195813,532935.09843387979
0.50,435198.74000241753,615271.61661195813,532935.09843387979
0.51,435198.74000241753,615271.61661195813,532935.09843387979
0.52,435198.74000241753,615271.61661195813,532935.09843387979
0.53,435198.74000241753,615271.61661195813,532935.09843387979
0.54,435198.74000241753,615271.61661195813,532935.09843387979
0.55,435198.74000241753,615271.61661195813,532935.09843387979
0.56,435198.74000241753,615271.61661195813,532935.09843387979
0.57,435198.74000241753,615271.61661195813,532935.09843387979
0.58,435198.74000241753,615271.61661195813,532935.09843387979
0.59,435198.74000241753,615271.61661195813,532935.09843387979
0.60,435198.74000241753,615271.61661195813,532935.09843387979
0.61,435198.74000241753,615271.61661195813,532935.09843387979
0.62,435198.74000241753,615271.61661195813,532935.09843387979
0.63,435198.74000241753,615271.61661195813,532935.09843387979
0.64,435198.74000241753,615271.61661195813,532935.09843387979
0.65,435198.74000241753,615271.61661195813,532935.09843387979
0.66,435198.74000241753,615271.61661195813,532935.09843387979
0.67,435198.74000241753,615271.61661195813,532935.09843387979
0.68,435198.74000241753,615271.61661195813,532935.09843387979
0.69,435198.74000241753,615271.61661195813,532935.09843387979
0.70,435198.74000241753,615271.61661195813,532935.09843387979
0.71,435198.74000241753,615271.61661195813,532935.09843387979
0.72,435198.74000241753,615271.61661195813,532935.09843387979
0.73,435198.74000241753,615271.61661195813,532935.09843387979
0.74,435198.74000241753,615271.61661195813,532935.09843387979
0.75,435198.74000241753,615271.61661195813,532935.09843387979
0.76,435198.74000241753,615271.61661195813,532935.09843387979
0.77,435198.74000241753,615271.61661195813,532935.09843387979
0.78,435198.74000241753,615271.61661195813,532935.09843387979
0.79,435198.74000241753,615271.61661195813,532935.09843387979
0.80,435198.74000241753,615271.61661195813,532935.09843387979
0.81,435198.74000241753,615271.61661195813,532935.09843387979
0.82,435198.74000241753,615271.61661195813,532935.09843387979
0.83,435198.74000241753,615271.61661195813,532935.09843387979
0.84,435198.74000241753,615271.61661195813,532935.09843387979
0.85,435198.74000241753,615271.61661195813,532935.09843387979
0.86,435198.74000241753,615271.61661195813,532935.09843387979
0.87,435198.74000241753,615271.61661195813,532935.09843387979
