time,Fx_local,Fy_local,Fz_local
0.00,435477.63370473869,607891.13592364208,531204.19729318749
0.01,435471.59667558689,607835.75504297263,531393.78350353998
0.02,435464.84302793915,607785.09792697208,531582.94525931065
0.03,435457.39271006593,607739.26246023772,531771.53538301203
0.04,435449.26646486484,607698.34240226191,531959.40773157659
0.05,435440.48580608575,607662.42728292895,532146.41733071895
0.06,435431.07299376966,607631.60230203404,532332.42050803255
0.07,435421.05100892676,607605.94823292503,532517.27502468927
0.08,435410.4435274789,607585.54133036453,532700.8402056155
0.09,435399.27489349217,607570.45324270835,532882.97706802003
0.10,435387.57009172969,607560.75092848775,533063.54844814714
0.11,435375.3547195486,607556.49657748186,533242.41912613367
0.12,435362.65495817363,607557.74753636296,533419.45594884967
0.13,435349.49754337355,607564.55623898818,533594.52795060375
0.14,435335.90973557206,607576.97014141141,533767.50647159538
0.15,435321.91928942257,607595.03166168381,533938.26527400245
0.16,435307.55442287849,607618.77812450263,534106.68065559014
0.17,435292.84378578991,607648.24171076948,534272.63156073226
0.18,435277.81642805802,607683.44941210945,534435.99968873814
0.19,435262.50176738127,607724.42299039883,534596.66959938209
0.20,435246.92955662415,607771.17894234741,534754.52881553187
0.21,435231.12985084287,607823.72846917005,534909.46792277915
0.22,435215.13297400053,607882.07745138381,535061.3806659769
0.23,435198.96948540659,607946.22642875859,535210.16404258949
0.24,435182.67014591332,608016.1705854428,535355.71839276818
0.25,435166.26588390477,608091.89974028443,535497.94748606381
0.26,435149.78776111215,608173.39834235946,535636.7586046966
0.27,435133.26693828951,608260.64547171537,535772.06262330106
0.28,435116.7346407859,608353.6148453342,535903.77408507268
0.29,435100.22212404857,608452.27482831106,536031.81127424235
0.30,435083.76063909061,608556.5884502409,536156.09628481022
0.31,435067.38139796117,608666.5134268034,536276.55508547532
0.32,435051.11553924868,608782.00218652422,536393.11758069857
0.33,435034.9940936573,608903.00190269423,536505.7176678417
0.34,435019.04794968723,609029.45453041559,536614.29329033045
0.35,435003.30781945592,609161.29684874369,536718.7864867897
0.36,434987.80420469388,609298.46050788683,536819.1434361086
0.37,434972.56736295001,609440.87208141969,536915.31449839019
0.38,434957.62727404042,609588.45312346437,537007.25425175182
0.39,434943.01360677561,609741.12023078557,537094.92152494052
0.40,434928.75568599778,609898.78510974254,537178.27942573559
0.41,434914.88245996373,610061.35464803467,537257.29536511225
0.42,434901.42246810644,610228.73099117563,537331.94107714691
0.43,434888.40380920551,610400.8116236229,537402.19263464573
0.44,434875.85411000228,610577.48945448583,537468.03046048584
0.45,434863.80049428873,610758.6529077345,537529.4393346596
0.46,434852.26955250307,610944.18601681967,537586.40839701949
0.47,434841.28731186257,611133.96852361842,537638.93114572123
0.48,434830.87920706347,611327.8759816098,537687.00543137407
0.49,434821.07005157921,611525.77986318141,537730.63344690204
0.50,434811.8840095835,611727.54767096741,537769.82171313348
0.51,434803.34456853051,611933.0430531099,537804.58106013318
0.52,434795.47451241635,612142.12592233473,537834.92660430004
0.53,434788.29589575256,612354.65257872699,537860.87772125576
0.54,434781.83001827524,612570.47583609063,537882.45801455295
0.55,434776.09740041709,612789.44515176967,537899.69528023957
0.56,434771.11775956833,613011.40675980679,537912.62146731326
0.57,434766.90998714819,613236.203807313,537921.27263411251
0.58,434763.49212651321,613463.67649391678,537925.68890068633
0.59,434760.8813517227,613693.66221415834,537925.91439719556
0.60,434759.09394718549,613925.99570269254,537921.99720839737
0.61,434758.14528820664,614160.50918216212,537913.989314273
0.62,434758.04982245533,614397.0325135974,537901.94652685756
0.63,434758.82105237321,614635.39334919851,537885.92842334008
0.64,434760.47151854099,614875.41728735389,537865.99827550037
0.65,434763.01278401987,615116.92802974302,537842.22297555592
0.66,434766.4554196861,615359.74754037661,537814.67295849707
0.67,434770.80899057083,615603.69620641624,537783.42212098453
0.68,434776.08204322314,615848.59300062142,537748.54773689993
0.69,434782.28209410654,616094.25564526685,537710.1303696275
0.70,434789.415619042,616340.50077737053,537668.25378116278
0.71,434797.48804371053,616587.144115075,537623.00483813649
0.72,434806.50373522262,616834.00062501978,537574.47341485228
0.73,434816.4659947647,617080.88469054445,537522.75229343341
0.74,434827.3770513325,617327.61028055812,537467.93706118362
0.75,434839.23805655463,617573.9911189155,537410.12600526283
0.76,434852.04908061586,617819.84085413208,537349.42000478646
0.77,434865.80910928152,618064.97322927648,537285.92242045526
0.78,434880.51604203018,618309.20225187682,537219.73898183159
0.79,434896.16669129359,618552.34236367373,537150.9776723698
0.80,434912.75678280822,618794.20861005853,537079.74861232273
0.81,434930.28095707722,619034.61680903193,537006.16393963899
0.82,434948.73277194175,619273.38371952041,536930.33768897143
0.83,434968.10470626183,619510.32720888464,536852.38566892105
0.84,434988.38816470082,619745.26641946321,536772.42533763614
0.85,435009.57348361216,619978.02193398541,536690.57567689684
0.86,435031.64993802161,620208.41593969543,536606.95706480637
0.87,435054.60574969894,620436.27239102998,536521.6911472216
0.88,435078.42809631227,620661.41717068991,536434.90070805012
0.89,435103.10312165617,620883.67824895133,536346.70953854418
0.90,435128.61594694422,621102.88584106136,536257.24230572279
0.91,435154.95068315545,621318.87256256759,536166.624420056
0.92,435182.09044442244,621531.47358242876,536074.98190254113
0.93,435210.01736245066,621740.52677376091,535982.44125130679
0.94,435238.7126019515,621945.87286207126,535889.12930787785
0.95,435268.15637707763,622147.35557083786,535795.17312323523
0.96,435298.32796884468,622344.82176429301,535700.6998238056
0.97,435329.2057435207,622538.12158727273,535605.83647751389
0.98,435360.76717196644,622727.10860199865,535510.70996003528
0.99,435392.98884990963,622911.63992165704,535415.44682137785
1.00,435425.8465191318,623091.57634064835,535320.17315293185
1.01,435459.31508954719,623266.78246137965,535225.0144551188
1.02,435493.36866215355,623437.12681747996,535130.09550576983
1.03,435527.98055283236,623602.48199331632,535035.54022937035
1.04,435563.12331697444,623762.7247396966,534941.47156729631
1.05,435598.76877490827,623917.73608564865,534848.01134917687
1.06,435634.88803810545,624067.40144616528,534755.28016550886
1.07,435671.45153613866,624211.61072581355,534663.39724165155
1.08,435708.42904436501,624350.25841810612,534572.48031332926
1.09,435745.78971230856,624483.24370054191,534482.64550376299
1.10,435783.50209271407,624610.47052522097,534394.00720255834
1.11,435821.5341712432,624731.84770494979,534306.67794646672
1.12,435859.8533967855,624847.28899475036,534220.76830214192
1.13,435898.42671235272,624956.71316869988,534136.38675100787
1.14,435937.22058652813,625060.04409202083,534053.63957635325
1.15,435976.20104543807,625157.21078835835,533972.63075276557
1.16,436015.33370521787,625248.14750217716,533893.46183801536
1.17,436054.58380493487,625332.7937562177,533816.23186749872
1.18,436093.91623994277,625411.09440395923,533741.03725134314
1.19,436133.29559562891,625482.99967703864,533667.97167427954
1.20,436172.68618152547,625548.465227579,533597.12599838187
1.21,436212.05206574849,625607.45216538874,533528.58816876938
1.22,436251.35710973316,625659.92708999687,533462.44312236668
1.23,436290.56500322843,625705.86211749306,533398.77269981336
1.24,436329.63929951983,625745.2349021479,533337.6555606107
1.25,436368.54345084343,625778.02865279373,533279.16710158926
1.26,436407.24084395723,625804.2321439517,533223.37937878049
1.27,436445.69483583479,625823.83972169412,533170.36103276908
1.28,436483.86878944555,625836.85130423913,533120.17721760122
1.29,436521.72610958765,625843.27237727644,533072.88953331916
1.30,436559.23027873668,625843.11398403277,533028.55596219073
1.31,436596.3448928768,625836.39271008444,532987.23080869555
1.32,436633.03369727597,625823.13066293637,532948.96464332927
1.33,436669.26062217401,625803.35544638603,532913.80425028224
1.34,436704.98981834442,625777.10012970062,532881.79257904331
1.35,436740.1856924977,625744.4032116374,532852.96869997785
1.36,436774.81294248969,625705.3085793443,532827.36776392534
1.37,436808.8365923008,625659.86546218174,532805.02096585487
1.38,436842.22202675068,625608.12838051189,532785.95551261643
1.39,436874.93502591626,625550.15708950674,532770.19459481991
1.40,436906.94179921591,625486.01651803171,532757.75736286899
1.41,436938.20901912876,625415.77670266386,532748.65890717437
1.42,436968.70385451469,625339.51271691173,532742.91024256696
1.43,436998.3940035007,625257.30459570733,532740.518296925
1.44,437027.24772590527,625169.2372552437,532741.48590402736
1.45,437055.23387516238,625075.40040823841,532745.81180064077
1.46,437082.32192971976,624975.88847470703,532753.49062784214
1.47,437108.48202387511,624870.8004883345,532764.51293657569
1.48,437133.68497802399,624760.23999853665,532778.86519744049
1.49,437157.90232828551,624644.31496830832,532796.52981469629
1.50,437181.10635547916,624523.13766796037,532817.48514447431
1.51,437203.270113423,624396.82456484891,532841.70551717794
1.52,437224.36745652428,624265.49620920583,532869.1612640447
1.53,437244.3730666365,624129.27711618284,532899.81874784932
1.54,437263.26247915498,623988.29564422683,532933.64039771375
1.55,437281.0121083252,623842.68386990333,532970.58474799013
1.56,437297.59927173972,623692.57745929365,533010.60648117703
1.57,437313.00221399649,623538.11553609208,533053.65647482954
1.58,437327.20012949855,623379.44054653065,533099.68185241078
1.59,437340.17318436923,623216.69812126702,533148.62603803887
1.60,437351.90253746213,623050.03693436936,533200.4288150731
1.61,437362.37036044529,622879.6085595371,533255.02638848044
1.62,437371.55985693797,622705.56732369936,533312.35145091917
1.63,437379.45528068265,622528.07015813375,533372.33325247653
1.64,437386.04195273167,622347.27644725214,533434.89767398825
1.65,437391.30627763295,622163.34787520266,533499.96730386722
1.66,437395.23575859785,621976.44827043568,533567.46151836577
1.67,437397.81901163561,621786.74344838981,533637.29656518984
1.68,437399.04577863979,621594.40105244843,533709.38565038133
1.69,437398.90693941357,621399.59039332543,533783.63902838575
1.70,437397.39452262264,621202.48228703649,533859.96409520786
1.71,437394.50171566143,621003.24889161321,533938.26548457029
1.72,437390.22287342692,620802.06354272191,534018.44516697328
1.73,437384.55352598539,620599.10058834788,534100.40255155868
1.74,437377.49038512958,620394.53522270476,534184.03459067759
1.75,437369.0313498152,620188.54331953323,534269.23588705389
1.76,437359.1755104725,619981.30126495275,534355.89880344074
1.77,437347.92315218825,619772.98579002684,534443.91357465601
1.78,437335.27575675375,619563.77380320814,534533.16842188907
1.79,437321.23600357742,619353.84222282679,534623.54966916016
1.80,437305.8077694581,619143.3678097832,534714.94186182064
1.81,437288.99612722191,618932.52700061083,534807.22788697039
1.82,437270.80734322086,618721.49574107316,534900.28909567778
1.83,437251.2488736962,618510.44932045205,534994.00542687415
1.84,437230.32936000929,618299.56220669486,535088.25553280278
1.85,437208.05862274364,618089.00788257748,535182.91690589557
1.86,437184.44765468437,617878.95868304383,535277.86600695131
1.87,437159.5086126799,617669.58563388104,535372.97839448426
1.88,437133.25480839482,617461.05829188507,535468.1288551176
1.89,437105.70069795998,617253.54458667606,535563.19153488905
1.90,437076.86187053315,617047.21066431282,535658.04007133725
1.91,437046.75503577653,616842.22073286294,535752.54772623593
1.92,437015.39801026619,616638.73691007367,535846.58751884557
1.93,436982.80970284395,616436.91907329741,535940.03235954582
1.94,436949.01009892637,616236.92471181124,536032.7551837163
1.95,436914.02024378604,616038.90878167877,536124.62908573262
1.96,436877.86222481972,615843.02356329211,536215.52745294024
1.97,436840.55915282096,615649.41852173279,536305.32409947517
