case_id,case_groups,load_decomposition_label,buffer_average_initial_pressure_bar,buffer_accumulators_per_branch,soil_embedment_L_m,soil_m_MN_per_m4,shared_RAC_reference,source_frame_count,source_frame_fraction,proxy_frame_count,proxy_frame_fraction,branch1_endstop_frame_count,branch1_slack_frame_count,branch2_endstop_frame_count,branch2_slack_frame_count,first_endstop_time_s,last_endstop_time_s,soil_energy_total_J,soil_energy_source_interval_contribution_J,soil_energy_proxy_interval_contribution_J,soil_energy_transition_interval_contribution_J,soil_energy_source_interval_count,soil_energy_proxy_interval_count,soil_energy_transition_interval_count,soil_energy_interval_count_sum,soil_energy_contribution_sum_equals_total,roll_metric_available,roll_provenance,bridge_hinge_reaction_semantics,support_total_semantics,support_runtime_delta_semantics,roll_phi_rms_deg,roll_phi_abs_peak_deg,roll_p_rms_deg_s,roll_p_abs_peak_deg_s,buffer_relative_pitch_rms_rad,buffer_relative_pitch_abs_peak_rad,branch1_stroke_utilization_p95,branch1_stroke_utilization_abs_peak,branch2_stroke_utilization_p95,branch2_stroke_utilization_abs_peak,branch1_pressure_min_Pa,branch1_pressure_max_Pa,branch2_pressure_min_Pa,branch2_pressure_max_Pa,branch1_rope_tension_p95_N,branch1_rope_tension_abs_peak_N,branch2_rope_tension_p95_N,branch2_rope_tension_abs_peak_N,soil_x_displacement_rms_m,soil_x_displacement_abs_peak_m,soil_rotation_rms_rad,soil_rotation_abs_peak_rad,soil_force_x_total_rms_N,soil_force_x_total_abs_peak_N,soil_moment_total_rms_Nm,soil_moment_total_abs_peak_Nm,support_runtime_delta_x_force_rms_N,support_runtime_delta_x_force_abs_peak_N,support_runtime_delta_pitch_moment_rms_Nm,support_runtime_delta_pitch_moment_abs_peak_Nm,branch1_proxy_endstop_reaction_p95_N,branch1_proxy_endstop_reaction_abs_peak_N,branch2_proxy_endstop_reaction_p95_N,branch2_proxy_endstop_reaction_abs_peak_N
RAC,load_decomposition|buffer_pressure|soil_3x3,A_plus_C_fully_coupled_reference_label,135.0,9,4.0,3.25,True,5830,0.9715047492084653,171,0.028495250791534744,92,0,171,3,40.2,595.3000000000001,9754911.229495715,7857376.310705911,810745.807542214,1086789.111247614,5759,101,140,6000,True,True,free_dynamic,hinge_transmits_force_but_no_pure_moment_model_imposed_zero,total_physical_dynamic_balance,dynamic_balance_runtime_delta,0.1607811867737967,0.629523989060107,0.12070771044567308,0.8024914273104661,0.02274643210347487,0.04491263224289723,0.9105575581547505,0.9905607470215019,0.9293332287855461,0.9997618944194286,11182317.957048526,17019695.346408445,11003680.62669265,16860789.799664993,836348.3638455358,850845.5854806274,760518.5399030717,855135.6076777729,0.08640864499491943,0.23833334670911777,0.023794465471623706,0.070062974700602,3211366.7482100907,12607581.521226423,8440718.929406008,33179091.205775462,478427.42463583016,1711493.652641907,282017297.5973248,944032503.2381368,575878.0243323357,881833.9660598005,930299.9482425514,999002.7056897056
R0,load_decomposition,reference_without_A_or_C_label,135.0,9,4.0,3.25,False,6001,1.0,0,0.0,0,0,0,0,,,6.782912081359085e-12,6.782912081359085e-12,0.0,0.0,6000,0,0,6000,True,True,free_dynamic,hinge_transmits_force_but_no_pure_moment_model_imposed_zero,total_physical_dynamic_balance,dynamic_balance_runtime_delta,0.12212105573197439,0.12212105659076315,4.0518478997730984e-10,1.2345599739583721e-09,0.01140740271633279,0.011407402731952123,0.25075903700932844,0.25075903717741177,0.2548910784544667,0.2548910786255769,14353955.85764154,14353955.859912097,12711104.32557416,12711104.327470252,717580.4107278076,717580.4107543644,644674.3036372997,644674.3036641598,2.117897117056229e-11,5.708556640755309e-11,0.010839575031138245,0.010839575047883755,1893890.5485479708,1893890.5517006777,5681671.64594139,5681671.654590313,0.0003639731000428423,0.001174368429929018,2373867.918655288,2373868.0942879543,,,,
RA,load_decomposition,A_label,135.0,9,4.0,3.25,False,5836,0.9725045825695717,165,0.027495417430428264,90,0,165,4,45.6,595.3000000000001,9729286.712151784,7806052.767989376,818144.6026335488,1105089.3415288061,5768,98,134,6000,True,True,free_dynamic,hinge_transmits_force_but_no_pure_moment_model_imposed_zero,total_physical_dynamic_balance,dynamic_balance_runtime_delta,0.1641241590157702,0.6257857412423998,0.1262676798898287,0.7880538983526538,0.022747616931842775,0.044937232649316275,0.9124458823474435,0.9911044958207729,0.9311522086348903,0.999862366418391,11181197.847703611,17018289.238325,11004371.878606264,16863083.859805644,836580.5321766956,850775.2915751693,760443.6643403799,855251.9564690071,0.08634550892115196,0.2375783579988665,0.02376891628143939,0.07005298168019058,3212132.1572479685,12828129.523571238,8442811.947621308,33860848.974333376,477281.84425613296,1709299.5583253433,281902556.51537764,943323484.66162,581223.0070592395,1017611.3751483981,935790.322000325,999002.7056897056
RC,load_decomposition,C_label,135.0,9,4.0,3.25,False,6001,1.0,0,0.0,0,0,0,0,,,3103.1525321464364,3103.1525321464364,0.0,0.0,6000,0,0,6000,True,True,free_dynamic,hinge_transmits_force_but_no_pure_moment_model_imposed_zero,total_physical_dynamic_balance,dynamic_balance_runtime_delta,0.12362907036860703,0.14318694367698756,0.023233995304076837,0.03867340915405171,0.011302492230781417,0.011554449682344316,0.25336398450333064,0.2539887609252425,0.25754297280903593,0.2581790214508697,14330015.012103425,14364170.57694565,12702584.187830307,12731151.535692953,717992.2309481573,718091.0630732254,645560.4338854696,645691.0461649203,0.0006957188327532297,0.0010133015986304246,0.01097269379830115,0.01122563922389926,1875644.4043718318,1905844.7616169548,5640741.927669148,5727025.630016817,12661.939288444515,28737.740954058245,2979591.2696621343,5803523.298842769,,,,
B_P85_N9,buffer_pressure,,85.0,9,4.0,3.25,False,5601,0.9333444425929012,400,0.06665555740709882,289,1,400,166,39.900000000000006,599.0,19262895.370300245,12906577.855855193,2834134.1248225826,3522183.389622453,5450,250,300,6000,True,True,free_dynamic,hinge_transmits_force_but_no_pure_moment_model_imposed_zero,total_physical_dynamic_balance,dynamic_balance_runtime_delta,0.19337345237221515,0.7383960289040603,0.16217267131821964,0.6853550372095341,0.026240814410365604,0.044577569898295366,0.938805681748744,0.9882907716865326,0.9544825889271715,0.9999917017195692,7043664.229770923,10722857.871894171,6927950.394233672,10615430.094378507,529365.627024832,536055.2053572799,504037.7403374992,538387.1320605397,0.10035266923227086,0.290597330848807,0.028781229832413307,0.07326538389553199,3134333.5556960925,12908027.81777762,8096883.66741476,33937395.70389191,528905.9647739222,1975412.4657717384,277117910.3623425,902385237.3257678,1209467.0994598689,1728008.292246656,629001.7035824072,908971.0726305319
B_P185_N9,buffer_pressure,,185.0,9,4.0,3.25,False,5981,0.9966672221296451,20,0.0033327778703549408,3,0,20,0,65.10000000000001,396.3,5172051.012758992,5085456.8958541555,42735.28040097165,43858.836503860184,5971,11,18,6000,True,True,free_dynamic,hinge_transmits_force_but_no_pure_moment_model_imposed_zero,total_physical_dynamic_balance,dynamic_balance_runtime_delta,0.15738942529657615,0.6093058692527806,0.1173577056634864,0.7665838425380898,0.018319126821409532,0.04489929722031777,0.7712415541715973,0.9770853269318858,0.7879106536343912,0.9999912570500893,16315008.510787968,23311428.940453615,15078481.503543232,21302934.691826615,1108255.5656052963,1165380.813318476,990742.2853717253,1080429.6963228288,0.06756269857157848,0.19517417437508566,0.019613867832990062,0.05337329111008606,3232238.2028256645,9707185.145017982,8821090.837642815,25260701.603264645,467252.9187984289,1702382.1880767331,284407535.07442474,927564321.8784282,107599.37393065136,146650.90435789153,489875.2979374746,529989.0847939595
S_L35_M200,soil_3x3,,,9,3.5,2.0,False,5782,0.9635060823196134,219,0.0364939176803866,157,6,219,37,52.900000000000006,574.9,28497899.984273758,24346839.316508204,1596060.4658692472,2555000.2018962204,5685,123,192,6000,True,True,free_dynamic,hinge_transmits_force_but_no_pure_moment_model_imposed_zero,total_physical_dynamic_balance,dynamic_balance_runtime_delta,0.18307202403742054,0.5801998450666163,0.14963565477219307,0.6871486232580883,0.02330245947838812,0.044894451379314845,0.9044611542694028,0.990158891658723,0.9188283617142381,0.999752346673727,11183145.892974453,17019656.01717309,11003699.95890246,16859094.716403533,828040.9829114014,850843.6193404743,808756.7613760771,855049.6374431604,0.15692152688583538,0.3842129367319881,0.030461252356465192,0.0720861256543842,3728553.3995560897,12195580.043376215,8535212.583513385,28740544.088325486,572514.4368265615,1901078.7161618886,276706938.7341173,890637179.5940186,1484156.0752085357,2915274.6524937917,999002.7056897056,2685057.2641650504
S_L35_M325,soil_3x3,,,9,3.5,3.25,False,5884,0.9805032494584236,117,0.019496750541576405,71,0,117,3,45.800000000000004,595.6,11572780.837836295,10123531.731465321,586905.2172195968,862343.8891513979,5834,68,98,6000,True,True,free_dynamic,hinge_transmits_force_but_no_pure_moment_model_imposed_zero,total_physical_dynamic_balance,dynamic_balance_runtime_delta,0.17093413368942487,0.5972306891609551,0.13935954550832397,0.746309181106514,0.022296352925614667,0.04486824188009517,0.8900213000995312,0.989579578777187,0.9077942390646894,0.9999485906460848,11184339.626632439,17020464.418941326,11003302.617157655,16856651.58945417,830652.0396268353,850884.0328180266,780814.7380123202,854925.7283693041,0.09606269037189544,0.24979481279186203,0.02636125073527844,0.07282952326949169,3205920.796817978,11477384.110578857,7376345.133783229,26659728.511252902,483837.28675472544,1667469.8645974935,280184665.5379242,958118145.0819217,569846.1335158963,1072573.9574291196,924103.981531258,999002.7056897056
S_L35_M450,soil_3x3,,,9,3.5,4.5,False,5903,0.9836693884352607,98,0.01633061156473921,37,0,98,1,39.6,588.5,7098439.562036793,6308846.518428673,377146.5551029479,412446.48850517534,5865,61,74,6000,True,True,free_dynamic,hinge_transmits_force_but_no_pure_moment_model_imposed_zero,total_physical_dynamic_balance,dynamic_balance_runtime_delta,0.16723483768695763,0.6368251655147866,0.13237206228836407,0.7342016870076313,0.021268510148782102,0.044667414599707765,0.8769594196829843,0.9792077880942287,0.894850042410293,0.9998413755981552,11479406.295841722,17020022.752470892,11003519.696008582,16282926.805577042,829687.4351608676,850861.9531063214,747894.7032398043,825827.892649279,0.07062278320110303,0.1929015923528901,0.02267252859120924,0.06396898025162566,3093760.326453986,11345210.439359976,7250129.72191049,26079905.33308007,471090.4036641674,1690290.989212204,283417404.01066875,921779984.5204754,382349.8467629266,782324.6532233602,731507.5326621324,999002.7056897056
S_L40_M200,soil_3x3,,,9,4.0,2.0,False,5730,0.9548408598566905,271,0.04515914014330945,193,3,271,35,46.1,574.4,23088460.06862249,18584645.3149646,1863389.0065178678,2640425.7471399605,5621,163,216,6000,True,True,free_dynamic,hinge_transmits_force_but_no_pure_moment_model_imposed_zero,total_physical_dynamic_balance,dynamic_balance_runtime_delta,0.19594032097174566,0.5764667128740202,0.1689829402706407,0.7853606124547823,0.02500312148215054,0.04487763706002903,0.9231016221616162,0.9897872418434321,0.9417506626002252,0.9997998238738717,11183911.690451996,17019851.587546214,11003603.82796934,16857527.296048377,837181.6185276537,850853.3962598142,797948.1617112212,854970.1419406413,0.13963746302714822,0.3487957635837664,0.029757384012290927,0.07285464841877323,3663026.278870042,12383941.668664278,9453786.694365883,32737387.9376517,540799.8110173005,1956908.8074665596,275507976.6399297,861416270.6735555,1092183.5695259208,1535418.087828243,999002.7056897056,1785152.6260789267
