case_id,study_group,AQWA_environment_load,cutter_load,accumulator_average_initial_pressure_bar,accumulators_per_branch,spud_embedment_depth_m,soil_horizontal_resistance_coefficient_MN_per_m4,duration_s,time_step_s,frame_count,newmark_step_count,roll_DOF,run_state,main_corrector_only,post_stroke_continuation_frame_count
R0,载荷组合,关闭,恒定均值,135.0,9,4.0,3.25,600.0,0.1,6001,6000,启用,complete,True,0
RA,载荷组合,启用,恒定均值,135.0,9,4.0,3.25,600.0,0.1,6001,6000,启用,complete,True,165
RC,载荷组合,关闭,波动绞刀冲击载荷,135.0,9,4.0,3.25,600.0,0.1,6001,6000,启用,complete,True,0
RAC,载荷组合；缓冲与桩土共同基准,启用,波动绞刀冲击载荷,135.0,9,4.0,3.25,600.0,0.1,6001,6000,启用,complete,True,171
B_P85_N9,蓄能器初始压力,启用,波动绞刀冲击载荷,85.0,9,4.0,3.25,600.0,0.1,6001,6000,启用,complete,True,400
B_P185_N9,蓄能器初始压力,启用,波动绞刀冲击载荷,185.0,9,4.0,3.25,600.0,0.1,6001,6000,启用,complete,True,20
S_L35_M200,入土深度与土体水平抗力系数,启用,波动绞刀冲击载荷,135.0,9,3.5,2.0,600.0,0.1,6001,6000,启用,complete,True,219
S_L35_M325,入土深度与土体水平抗力系数,启用,波动绞刀冲击载荷,135.0,9,3.5,3.25,600.0,0.1,6001,6000,启用,complete,True,117
S_L35_M450,入土深度与土体水平抗力系数,启用,波动绞刀冲击载荷,135.0,9,3.5,4.5,600.0,0.1,6001,6000,启用,complete,True,98
S_L40_M200,入土深度与土体水平抗力系数,启用,波动绞刀冲击载荷,135.0,9,4.0,2.0,600.0,0.1,6001,6000,启用,complete,True,271
S_L40_M450,入土深度与土体水平抗力系数,启用,波动绞刀冲击载荷,135.0,9,4.0,4.5,600.0,0.1,6001,6000,启用,complete,True,122
S_L45_M200,入土深度与土体水平抗力系数,启用,波动绞刀冲击载荷,135.0,9,4.5,2.0,600.0,0.1,6001,6000,启用,complete,True,318
S_L45_M325,入土深度与土体水平抗力系数,启用,波动绞刀冲击载荷,135.0,9,4.5,3.25,600.0,0.1,6001,6000,启用,complete,True,215
S_L45_M450,入土深度与土体水平抗力系数,启用,波动绞刀冲击载荷,135.0,9,4.5,4.5,600.0,0.1,6001,6000,启用,complete,True,166
S_L375_M325,桩土参数中点,启用,波动绞刀冲击载荷,135.0,9,3.75,3.25,600.0,0.1,6001,6000,启用,complete,True,155
S_L425_M325,桩土参数中点,启用,波动绞刀冲击载荷,135.0,9,4.25,3.25,600.0,0.1,6001,6000,启用,complete,True,203
S_L40_M2625,桩土参数中点,启用,波动绞刀冲击载荷,135.0,9,4.0,2.625,600.0,0.1,6001,6000,启用,complete,True,206
S_L40_M3875,桩土参数中点,启用,波动绞刀冲击载荷,135.0,9,4.0,3.875,600.0,0.1,6001,6000,启用,complete,True,142
