parameter_series,case_id,spud_embedment_depth_m,soil_horizontal_resistance_coefficient_MN_per_m4,spud_soil_x_displacement_rms_m,spud_soil_x_displacement_abs_peak_m,spud_soil_rotation_rms_rad,spud_soil_rotation_abs_peak_rad,soil_reaction_x_rms_N,soil_reaction_x_abs_peak_N,soil_reaction_moment_rms_Nm,soil_reaction_moment_abs_peak_Nm,hull_spud_relative_pitch_rms_rad,branch1_piston_displacement_rms_m,branch2_piston_displacement_rms_m,branch1_rope_tension_rms_N,branch2_rope_tension_rms_N
固定m=3.25 MN/m4，改变入土深度,S_L35_M325,3.5,3.25,0.09606269037189544,0.24979481279186203,0.02636125073527844,0.07282952326949169,3205920.796817978,11477384.110578857,7376345.133783229,26659728.511252902,0.022296352925614667,0.36732512069327233,0.37374667712974236,716878.4302289708,661468.7366193959
固定m=3.25 MN/m4，改变入土深度,S_L375_M325,3.75,3.25,0.09106949233766992,0.2518759671120774,0.025253134812560633,0.0689376311568034,3216971.797343919,12754130.663986586,7928435.030792319,31604272.3729776,0.022476916417027003,0.37023265225196655,0.37683773058565256,721119.0651427183,657125.5980091623
固定m=3.25 MN/m4，改变入土深度,RAC,4.0,3.25,0.08640864499491943,0.23833334670911777,0.023794465471623706,0.070062974700602,3211366.7482100907,12607581.521226423,8440718.929406008,33179091.205775462,0.02274643210347487,0.374578569105104,0.381444807970471,726436.1610650955,651692.1076372769
固定m=3.25 MN/m4，改变入土深度,S_L425_M325,4.25,3.25,0.08267307654210304,0.23701896048434606,0.022488289079037917,0.06587977568967497,3184420.754727534,12209189.360368527,8892653.569785876,33606953.30637298,0.02288576949454292,0.37681747130671855,0.38383422533915695,730568.5994823128,647269.2433127875
固定m=3.25 MN/m4，改变入土深度,S_L45_M325,4.5,3.25,0.07984358072969812,0.22587781232852241,0.021215754039511182,0.06130911102910535,3159441.3302578484,12907194.922855586,9326738.779205408,37827922.59347553,0.023133032490893716,0.3808394215219689,0.38802685671608694,734756.0466217456,642949.2765666787
固定L=4.0 m，改变土体水平抗力系数,S_L40_M200,4.0,2.0,0.13963746302714822,0.3487957635837664,0.029757384012290927,0.07285464841877323,3663026.278870042,12383941.668664278,9453786.694365883,32737387.9376517,0.02500312148215054,0.41197391424988716,0.419041592911613,714960.9750030305,669080.3326376152
固定L=4.0 m，改变土体水平抗力系数,S_L40_M2625,4.0,2.625,0.10679177346377293,0.27676534239105616,0.026757571822012046,0.075629789808198,3378803.8792476268,12564681.044029213,8783975.095099699,33110287.813642114,0.023749998714324764,0.3912485440679846,0.3981260517069388,720541.0464693691,660326.9828065052
固定L=4.0 m，改变土体水平抗力系数,RAC,4.0,3.25,0.08640864499491943,0.23833334670911777,0.023794465471623706,0.070062974700602,3211366.7482100907,12607581.521226423,8440718.929406008,33179091.205775462,0.02274643210347487,0.374578569105104,0.381444807970471,726436.1610650955,651692.1076372769
固定L=4.0 m，改变土体水平抗力系数,S_L40_M3875,4.0,3.875,0.07429532347142395,0.2163070551206973,0.021670813123696,0.06518229798718266,3169682.704409055,12503417.188838314,8412641.614569657,32253809.808415398,0.022441772711830437,0.3694880844081984,0.37640940767668196,731263.3605732542,645581.0133837184
固定L=4.0 m，改变土体水平抗力系数,S_L40_M450,4.0,4.5,0.06619584935790668,0.17961271196754328,0.020037170915973887,0.05728367756749253,3180919.829489539,13165342.681008074,8506087.851659028,34032237.518560566,0.022315552074152638,0.367382790532043,0.3743226634978112,734816.4247822976,641212.456433993
